Player, POS, Age, Team, G, MP, PER, TS%, 3PAr, FTr, ORB%, DRB%, TRB%, AST%, STL%, BLK%, TOV%, USG%, , OWS, DWS, WS, WS48, , OBPM, DBPM, BPM, VORP
Jordan Clarkson,SG,25,TOT,54,1279,17.4,0.535,0.316,0.195,3.6,9.9,6.7,22.6,1.5,0.2,11.4,27.4,0,1.3,1,2.3,0.087,0,1.3,-2.2,-0.9,0.3
Jordan Crawford,SG,29,NOP,2,37,15.9,0.643,0.357,0,6.2,2.9,4.5,36.7,0,2.2,22.2,21.3,0,0.1,0,0.1,0.122,0,1.3,-5,-3.7,0
Jordan Mickey,PF,23,MIA,17,236,10.3,0.513,0.164,0.239,6.8,28,17.4,5.9,0.6,2.9,16.8,17.1,0,-0.1,0.3,0.3,0.051,0,-5.8,0.5,-5.3,-0.2
Jose Calderon,PG,36,CLE,39,610,10.3,0.64,0.545,0.164,1.5,8.5,5.1,17,1.6,0,18.1,10.5,0,0.9,0.2,1.1,0.085,0,-0.3,-1.8,-2.1,0
Josh Gray,PG,24,PHO,4,70,13,0.398,0.333,0.3,3,12.6,7.7,25.7,5.5,2.3,12.8,23.7,0,-0.1,0.1,0,-0.001,0,-2.5,2.2,-0.3,0
Josh Hart,SG,22,LAL,50,1028,11,0.586,0.551,0.233,2.7,15.8,9.2,7.4,1.6,0.9,10.3,11.9,0,1.1,1.1,2.2,0.102,0,-0.9,0.4,-0.5,0.4
Josh Huestis,PF,26,OKC,51,745,5.4,0.416,0.634,0.112,4.8,14,9.3,2.5,0.9,4.3,13.5,9.4,0,-0.4,0.9,0.4,0.028,0,-4.7,1.1,-3.6,-0.3
Josh Jackson,SF,20,PHO,55,1274,10.2,0.469,0.27,0.292,5.1,14,9.5,8.4,1.8,1.6,12.8,24.8,0,-1.6,0.7,-0.9,-0.033,0,-3.7,-1.4,-5.1,-1
Josh Magette,PG,28,ATL,9,69,17,0.631,0.429,0.429,1.7,8.4,5,36.8,1.4,0,10.7,11.9,0,0.3,0,0.3,0.2,0,1.1,-4.5,-3.4,0
Josh McRoberts,PF,30,DAL,2,6,-12.6,0,1,0,0,0,0,0,0,0,0,7.6,0,0,0,0,-0.191,0,-9.6,-2.4,-12,0
Josh Richardson,SF,24,MIA,56,1917,13.2,0.561,0.406,0.166,2.4,8.7,5.6,13.2,2,2.3,13.6,18.4,0,1.3,2.3,3.6,0.09,0,-0.1,1.2,1.1,1.5
Josh Smith,PF,32,NOP,3,12,3.5,0.25,0,0,28.5,9,18.5,0,0,0,0,14.6,0,0,0,0,-0.02,0,-6.2,-7.8,-14,0
Jrue Holiday,SG,27,NOP,55,2025,16.5,0.568,0.322,0.203,1.9,11,6.6,21.9,1.8,1.5,13.4,22.3,0,2.5,1.6,4,0.096,0,1.1,-0.3,0.8,1.4
Juan Hernangomez,PF,22,DEN,20,232,10,0.501,0.661,0.186,7.7,16.1,11.9,5.3,1.3,1.1,9.9,13.3,0,0.2,0.2,0.3,0.071,0,-1.3,-1.4,-2.8,0
Julius Randle,C,23,LAL,55,1333,19.4,0.6,0.07,0.432,8.9,23.4,16.1,15.3,0.9,2.1,16.9,25.1,0,2,1.6,3.7,0.132,0,-0.1,0.6,0.5,0.8
Julyan Stone,SG,29,CHO,11,43,10,0.75,1,0,0,28.5,13.9,31.1,2.3,2,50,8.1,0,0,0.1,0.1,0.104,0,-3.2,2.2,-1,0
Justin Anderson,SF,24,PHI,25,360,12.9,0.546,0.481,0.176,5.3,12.8,9.2,6.3,1.5,1.2,6,17.9,0,0.4,0.4,0.9,0.115,0,-0.4,-1.4,-1.8,0
Justin Holiday,SG,28,CHI,54,1847,11.5,0.526,0.569,0.228,1.6,12.8,7,10,1.6,1.4,9.4,18,0,0.7,1.5,2.1,0.055,0,-0.5,0,-0.4,0.7
Justin Jackson,SF,22,SAC,41,771,8.6,0.496,0.419,0.096,2.4,12,7,6.3,1,0.7,9.1,15.3,0,-0.1,0.2,0.1,0.003,0,-2.7,-2.2,-4.9,-0.6
Justise Winslow,SF,21,MIA,42,977,9.9,0.471,0.231,0.185,4.7,21.8,13.3,12.9,1.2,1.7,14.8,15.3,0,-0.3,1.3,1,0.051,0,-3.9,1.8,-2.1,0
Jusuf Nurkic,C,23,POR,54,1426,17.4,0.513,0.011,0.308,8.9,24.7,17,11.4,1.5,3.9,15.3,27,0,-0.3,2.4,2.1,0.072,0,-3.5,2.1,-1.4,0.2
Kadeem Allen,PG,25,BOS,7,27,-1.8,0.322,0.5,0.667,4.1,7.9,6.1,5,1.9,0,27.9,17.8,0,-0.1,0,-0.1,-0.144,0,-10,-0.3,-10.3,-0.1
Karl-Anthony Towns,C,22,MIN,59,2077,24.5,0.647,0.262,0.323,9.5,30.6,19.9,10.4,1.1,3.6,11,22,0,7.2,2.5,9.7,0.225,0,4.1,1.2,5.3,3.8
Kawhi Leonard,SF,26,SAS,9,210,26.3,0.572,0.315,0.342,3.2,19.1,11.1,18,4.4,3.6,11.1,30.8,0,0.4,0.5,0.9,0.203,0,2.8,3.3,6.1,0.4
Kay Felder,PG,22,TOT,15,137,2.9,0.375,0.279,0.176,1.6,10.5,5.9,22.5,1.1,0.6,17.9,28.6,0,-0.6,0.1,-0.5,-0.184,0,-8.7,-3.4,-12.1,-0.3
Kelly Olynyk,PF,26,MIA,54,1264,16.2,0.603,0.42,0.268,5.3,21.7,13.5,16.1,1.6,1.5,17.9,21.5,0,1.4,1.8,3.2,0.121,0,0.5,1.1,1.5,1.1
Kelly Oubre,SF,22,WAS,56,1546,12.5,0.56,0.46,0.287,3.2,16,9.6,5.6,1.6,1.2,9.6,18.6,0,1.5,1.6,3.1,0.097,0,-0.3,-0.5,-0.8,0.5
Kemba Walker,PG,27,CHO,54,1888,21,0.562,0.423,0.318,1.2,9.3,5.2,28.9,1.6,0.8,9.8,28,0,4.5,1.6,6.1,0.156,0,5.2,-1.5,3.7,2.7
Kenneth Faried,PF,28,DEN,33,461,17.7,0.552,0.007,0.345,16.5,20.9,18.7,5.9,1.3,2.4,11.9,18.3,0,0.9,0.5,1.3,0.138,0,-1.1,-0.8,-1.9,0
Kent Bazemore,SG,28,ATL,57,1587,14.7,0.542,0.404,0.302,1.6,14.8,8.2,20.1,2.9,2.2,17,22.7,0,0.3,1.7,2,0.062,0,-0.5,1.1,0.6,1
Kentavious Caldwell-Pope,SG,24,LAL,47,1528,12.9,0.538,0.502,0.255,2.8,12.8,7.7,8.9,2.4,0.5,9.4,17.4,0,1.3,1.7,3,0.094,0,0.2,0.4,0.6,1
Kevin Durant,PF,29,GSW,48,1657,25.4,0.639,0.342,0.318,1.8,18.8,11,24.9,1.2,4.4,13.2,29.3,0,5.2,2.2,7.4,0.214,0,4.7,1,5.7,3.2
Kevin Love,C,29,CLE,48,1342,22.9,0.613,0.433,0.369,7.8,29.3,18.7,9.4,1.2,1.3,9.3,25.5,0,4,1.3,5.2,0.187,0,2.7,-1.7,1,1
Kevon Looney,C,21,GSW,45,499,13.4,0.581,0,0.495,13,15.7,14.5,6.4,1.1,4.1,14.8,12.4,0,0.8,0.6,1.3,0.129,0,-1,1,0,0.2
Khem Birch,C,25,ORL,19,221,16.3,0.54,0,0.327,15.9,20.7,18.3,7.8,1.8,3.5,14.9,14.6,0,0.3,0.2,0.5,0.119,0,-1.4,1.6,0.2,0.1
Khris Middleton,SF,26,MIL,55,2022,17,0.568,0.332,0.255,1.6,15.3,8.5,18.9,1.8,0.4,11.6,24.8,0,2.8,1.7,4.5,0.106,0,1.5,-1.2,0.2,1.1
Klay Thompson,SG,27,GSW,55,1884,16.5,0.609,0.449,0.081,1.5,10.8,6.5,11.2,1,1.3,9.6,23.3,0,2.8,1.3,4.2,0.107,0,2.2,-2.3,-0.1,0.9
Kobi Simmons,PG,20,MEM,12,176,8.1,0.487,0.289,0.111,2,10.7,6.3,10.6,2.3,1.6,16,14.5,0,-0.1,0.2,0.1,0.018,0,-4.1,0.2,-3.9,-0.1
Kosta Koufos,C,28,SAC,52,977,16.8,0.557,0,0.23,11.7,26.6,18.9,9,1.8,1.9,11.1,14.8,0,1.5,0.9,2.4,0.117,0,-1.1,0.9,-0.2,0.4
Kris Dunn,PG,23,CHI,40,1185,15,0.483,0.191,0.139,1.9,15.2,8.3,35.6,3.4,1.3,17.2,25.3,0,-0.8,1.6,0.8,0.031,0,-1.2,1.6,0.4,0.7
Kristaps Porzingis,PF,22,NYK,48,1553,20.6,0.539,0.258,0.309,4.5,18,11.4,6.4,1.2,6.5,8.4,31.2,0,1.6,2.1,3.7,0.114,0,-0.3,0.2,-0.1,0.8
Kyle Anderson,SF,24,SAS,49,1341,15.7,0.581,0.11,0.312,4.6,19,11.8,14.6,2.7,2.4,16.4,13.7,0,1.6,2.7,4.2,0.151,0,-0.6,4.3,3.7,1.9
Kyle Collinsworth,SF,26,DAL,14,176,10.8,0.507,0.167,0.567,5.6,18.5,11.8,13.8,2.6,1,17.6,11.8,0,0.1,0.2,0.3,0.077,0,-3.2,2.3,-0.8,0.1
Kyle Korver,SG,36,CLE,55,1182,13.7,0.65,0.784,0.141,0.9,9.3,5.2,8.6,0.7,1.5,8.9,16.5,0,2.2,0.3,2.5,0.102,0,2.4,-2.6,-0.1,0.6
Kyle Kuzma,PF,22,LAL,54,1609,14.6,0.545,0.396,0.201,4.4,16.9,10.6,9.5,0.9,1.2,10.6,22.7,0,1.2,1.5,2.7,0.081,0,-0.2,-1.2,-1.4,0.2
Kyle Lowry,PG,31,TOR,52,1674,18.9,0.582,0.609,0.288,3.2,16.6,10,28.5,1.9,0.4,15.1,22.4,0,4,2.2,6.2,0.179,0,4.7,0.7,5.4,3.1
Kyle O'Quinn,C,27,NYK,55,929,19.6,0.632,0.036,0.388,9.9,27.6,18.9,17.1,1.3,5.6,19.7,17.2,0,1.8,1.5,3.3,0.172,0,0.3,4.2,4.5,1.5
Kyle Singler,SF,29,OKC,11,53,7.4,0.465,0.263,0.684,2,17.5,9.5,2.7,0.9,0,10.8,22.6,0,-0.1,0,0,-0.005,0,-7.2,-4.7,-11.9,-0.1
Kyrie Irving,PG,25,BOS,52,1699,24.4,0.6,0.362,0.246,1.9,10,6,29.9,1.6,0.8,10.1,31.2,0,5.2,2.5,7.7,0.218,0,6.5,-0.7,5.8,3.4
LaMarcus Aldridge,C,32,SAS,54,1829,24,0.563,0.08,0.286,11,16.5,13.8,11.1,0.8,3,7.2,28.4,0,5,2.7,7.7,0.202,0,2.5,0.3,2.8,2.2
Lance Stephenson,SG,27,IND,57,1330,12.7,0.509,0.324,0.192,3.8,22.9,13.5,18.6,1.2,0.7,15.7,20.8,0,0.1,1.3,1.4,0.051,0,-1.7,-0.1,-1.8,0.1
Lance Thomas,PF,29,NYK,54,974,6,0.502,0.435,0.204,4,10.5,7.3,4,1,1.1,13,10.8,0,0.1,0.6,0.6,0.031,0,-2.4,-0.2,-2.6,-0.1
Langston Galloway,SG,26,DET,45,675,13.5,0.527,0.654,0.129,1.8,10.4,6,11.7,1.8,0.7,5.1,19.2,0,0.8,0.7,1.4,0.101,0,0.8,-1.6,-0.8,0.2
Larry Drew,PG,27,PHI,3,15,-9.4,0.143,0.429,0,7.5,0,3.6,17.6,0,0,12.5,22.8,0,-0.1,0,-0.1,-0.308,0,-12,-5.3,-17.3,-0.1
Larry Nance,PF,25,TOT,43,943,19.3,0.615,0.019,0.341,12.1,20.4,16.2,9.4,3,1.7,12.1,15.1,0,2.1,1.6,3.7,0.189,0,0.9,2.7,3.7,1.3
Lauri Markkanen,PF,20,CHI,49,1487,15.3,0.55,0.493,0.176,3.7,24.2,13.6,7,0.9,1.6,8.3,21.8,0,1.1,1.4,2.5,0.08,0,-0.5,-1.1,-1.6,0.2
LeBron James,PF,33,CLE,55,2033,27.7,0.62,0.258,0.322,3.5,20.7,12.3,44,2.1,2.4,17.1,30.8,0,6.6,2,8.7,0.204,0,6.8,2.1,8.9,5.6
London Perrantes,PG,23,CLE,2,4,-6,0,0,0,0,0,0,30.4,0,0,0,11.1,0,0,0,0,-0.175,0,-13.2,-9.8,-22.9,0
Lonzo Ball,PG,20,LAL,36,1222,12.2,0.436,0.489,0.125,4.1,18.3,11.2,28.9,2.1,2.1,18.9,17.9,0,-0.6,1.7,1,0.041,0,-1.4,2.4,1,0.9
Lorenzo Brown,PG,27,TOR,12,95,5.7,0.333,0.333,0,0,11.6,5.9,16.2,1.5,0,4.5,10.1,0,0,0.1,0.1,0.028,0,-4.3,-0.2,-4.6,-0.1
Lou Williams,SG,31,LAC,53,1720,21.9,0.595,0.439,0.372,1.7,6.9,4.3,27.9,1.6,0.5,13.4,30.3,0,4.6,1.1,5.6,0.157,0,5.2,-2.8,2.4,1.9
Luc Mbah,PF,31,HOU,38,1031,9.5,0.585,0.53,0.253,1.8,12,6.9,5,2.2,1.3,16,12.2,0,0.4,1.2,1.6,0.073,0,-1.5,1.3,-0.2,0.5
Lucas Nogueira,C,25,TOR,33,311,16.4,0.646,0.23,0.295,5.1,17.7,11.5,5.7,2.7,8.3,14.8,11.3,0,0.5,0.7,1.2,0.18,0,-1,6.1,5.1,0.6
Luis Montero,SG,24,DET,2,8,-15.6,0,0,0,0,28.8,14,0,0,0,66.7,16.6,0,-0.1,0,-0.1,-0.448,0,-23.6,-2.2,-25.8,0
Luke Babbitt,SF,28,ATL,37,570,12.2,0.636,0.661,0.131,1,15.4,8.1,7,0.6,0.8,7.8,14.9,0,0.9,0.2,1.1,0.095,0,0.4,-2.4,-2,0
Luke Kennard,SG,21,DET,48,901,11.4,0.549,0.418,0.142,1.7,11.1,6.3,11.3,1.7,0.8,12.8,16.9,0,0.4,0.9,1.3,0.069,0,-1.5,-0.4,-1.9,0
Luke Kornet,PF,22,NYK,2,36,18.1,0.458,0.833,0,3.2,30.6,17.1,7.8,2.8,9.8,0,14.6,0,0,0.1,0.1,0.145,0,-1,5.7,4.7,0.1
Luol Deng,SF,32,LAL,1,13,5.6,0.5,0,0,0,0,0,10.1,3.7,0,33.3,9.7,0,0,0,0,-0.018,0,-7.2,-1.3,-8.6,0
Malachi Richardson,SG,22,TOT,26,324,6,0.446,0.444,0.244,1.7,10.7,6,5.6,1.6,0.3,9.1,15.2,0,-0.2,0.1,-0.1,-0.021,0,-4.1,-2.4,-6.5,-0.4
Malcolm Brogdon,PG,25,MIL,46,1404,14.6,0.579,0.319,0.174,1.9,10.9,6.4,16.7,1.5,0.8,11,19.3,0,2,0.9,2.9,0.1,0,0.7,-1.5,-0.9,0.4
Malcolm Delaney,PG,28,ATL,49,930,10.1,0.515,0.438,0.281,1.1,10,5.5,22.8,1.5,0.5,17.5,16.8,0,0.3,0.4,0.7,0.037,0,-2.1,-2,-4,-0.5
Malcolm Miller,SF,24,TOR,3,13,13.6,0.6,0.8,0,8.8,8.5,8.6,0,0,0,0,16.7,0,0,0,0,0.15,0,2.2,-6.8,-4.5,0
Malik Beasley,SG,21,DEN,46,477,8.2,0.485,0.432,0.164,3.1,11.9,7.4,7.7,1.3,0.7,11.3,16.1,0,-0.1,0.3,0.2,0.021,0,-3.3,-2,-5.3,-0.4
Malik Monk,SG,19,CHO,40,485,7.6,0.445,0.577,0.079,0.4,7.3,3.8,15,1,0.5,8.6,21.8,0,-0.5,0.3,-0.2,-0.016,0,-2.4,-3.3,-5.7,-0.5
Mangok Mathiang,C,25,CHO,3,10,-1.5,0,0,0,10.6,55.6,32.6,0,0,0,0,8.7,0,0,0,0,-0.087,0,-15.8,-5.3,-21.1,0
Manu Ginobili,SG,40,SAS,43,887,13.6,0.563,0.425,0.231,1.7,9.6,5.7,19.2,1.5,1.2,16,21.6,0,0.6,1.2,1.8,0.098,0,-0.1,-0.7,-0.7,0.3
Marc Gasol,C,33,MEM,54,1837,17.4,0.526,0.291,0.334,4.1,25,14.4,19.9,1,4.1,13.8,26.3,0,1,2.3,3.3,0.085,0,-0.6,1.8,1.2,1.5
Marcin Gortat,C,33,WAS,56,1478,15.1,0.554,0,0.305,9.8,24.1,17,10.2,1.1,2.5,13.7,15.3,0,1.8,1.9,3.7,0.121,0,-1.4,2.1,0.7,1
Marco Belinelli,SG,31,ATL,52,1210,14.3,0.555,0.51,0.225,1.2,8.2,4.7,13.5,1.9,0.2,9.2,21.3,0,1.4,0.5,2,0.078,0,0.8,-2.6,-1.7,0.1
Marcus Georges-Hunt,SG,23,MIN,34,195,4.2,0.448,0.341,0.39,3.5,3.6,3.6,4.7,1,0,5.9,11.6,0,0,0,0,0.005,0,-2.8,-2.8,-5.6,-0.2
Marcus Morris,PF,28,BOS,34,834,13.8,0.524,0.377,0.248,4,19.2,11.7,8.3,1.1,1,9.4,23.3,0,0.3,1.4,1.7,0.097,0,-1.9,-0.4,-2.2,0
Marcus Paige,PG,24,CHO,1,3,-19.4,0,0,0,0,74.2,36.2,0,0,0,0,28.9,0,0,0,0,-0.616,0,-34.3,-11,-45.3,0
Marcus Smart,SG,23,BOS,46,1393,10,0.467,0.471,0.246,2.9,9.9,6.4,23,2.1,1.3,18.5,19.6,0,-0.9,2.3,1.3,0.045,0,-2.2,1.4,-0.8,0.4
Mario Chalmers,PG,31,MEM,49,1105,10.4,0.492,0.421,0.298,1.2,12.9,7,22.3,2.8,0.8,18.4,19.5,0,-0.5,1.2,0.7,0.031,0,-2.2,0,-2.2,-0.1
Mario Hezonja,SF,22,ORL,48,918,13.1,0.565,0.451,0.153,3.1,16,9.5,8.6,2,1.1,12.6,19,0,0.5,0.7,1.2,0.061,0,-0.8,-0.7,-1.5,0.1
Markel Brown,SG,26,HOU,4,31,-1.2,0.357,0.714,0,3.7,14.6,9.2,8.6,0,0,22.2,12.7,0,-0.1,0,0,-0.068,0,-6.5,-1.9,-8.4,-0.1
Markelle Fultz,SG,19,PHI,4,76,3.7,0.372,0,0.444,4.4,8.2,6.4,13.1,1.3,1.1,15.7,21.6,0,-0.2,0.1,-0.1,-0.086,0,-8.6,-1.3,-9.9,-0.2
Markieff Morris,PF,28,WAS,47,1228,12.7,0.561,0.299,0.194,4.8,19.3,12.1,8.6,1.5,1.6,14.3,18.9,0,0.7,1.5,2.1,0.083,0,-1.3,0.5,-0.8,0.4
Marquese Chriss,PF,20,PHO,49,1034,10,0.495,0.435,0.324,4.3,22.3,13.1,8.7,1.6,3.7,16.7,17.3,0,-0.7,1,0.3,0.015,0,-3.4,1.4,-2,0
Marreese Speights,C,30,ORL,45,592,13.1,0.535,0.672,0.159,3.3,18.5,10.9,8.7,0.5,2.6,10,26.5,0,0.1,0.4,0.4,0.036,0,-0.1,-3.2,-3.3,-0.2
Marshall Plumlee,C,25,MIL,6,44,13.5,0.697,0,5.333,10.8,32.3,21.6,5.8,0,2,23,13.6,0,0.1,0,0.2,0.176,0,-3.4,-1.5,-4.9,0
Marvin Williams,PF,31,CHO,52,1349,14.1,0.623,0.525,0.207,4,16.3,10,6.6,1.2,1.3,9,13.9,0,2.4,1.3,3.8,0.134,0,1.2,0.4,1.6,1.2
Mason Plumlee,C,27,DEN,50,1047,16.3,0.563,0.004,0.493,10.1,22.3,16.1,14,1.7,4.7,19.4,16.9,0,0.8,1.4,2.3,0.104,0,-1.7,3.1,1.4,0.9
Matt Costello,C,24,SAS,3,18,3.4,0.333,0,0,6.2,37,21.6,0,0,9.4,25,10,0,0,0,0,0.018,0,-12.6,1.7,-10.9,0
Matt Williams,SG,24,MIA,3,11,-0.7,0.417,0.833,0,0,10.4,5.2,0,0,0,14.3,28.8,0,-0.1,0,0,-0.2,0,-8.5,-8.6,-17.1,0
Matthew Dellavedova,PG,27,MIL,37,702,8.8,0.506,0.517,0.168,2.2,8.4,5.3,27.9,1,0,23.1,13.6,0,0.3,0.3,0.6,0.041,0,-2.2,-3.3,-5.6,-0.6
Maurice Harkless,SF,24,POR,46,939,10.5,0.553,0.376,0.17,4.1,10.6,7.4,4.9,1.6,2.8,12.7,12.6,0,0.5,1.1,1.6,0.082,0,-1.6,1.6,0,0.5
Maxi Kleber,PF,26,DAL,51,904,12.9,0.553,0.369,0.157,6.9,13.6,10.1,6.4,1.1,3.5,7.3,13.7,0,1.1,0.9,2,0.105,0,-1,1.2,0.2,0.5
Meyers Leonard,C,25,POR,22,174,19.4,0.704,0.304,0.179,5.8,22.3,14.2,9.4,1.1,0,10.4,17.1,0,0.6,0.2,0.8,0.214,0,2,-1.2,0.8,0.1
Michael Beasley,PF,29,NYK,50,1000,19.2,0.562,0.096,0.242,7.7,21.8,14.9,11.8,1.2,2.4,14.4,28.9,0,0.7,1.1,1.8,0.086,0,-0.9,-0.5,-1.4,0.2
Michael Carter-Williams,PG,26,CHO,44,702,10.1,0.439,0.261,0.372,4.8,13,8.8,20,2.4,2.1,17,15.6,0,-0.2,0.9,0.7,0.049,0,-2.8,2,-0.8,0.2
Michael Kidd-Gilchrist,SF,24,CHO,49,1288,13.6,0.539,0.005,0.279,4.8,13.9,9.2,6.6,1.4,1.7,6.3,16,0,1.5,1.3,2.8,0.103,0,-1.6,0.8,-0.8,0.4
Mike Conley,PG,30,MEM,12,373,15.8,0.52,0.458,0.393,0,8.5,4.2,22.6,1.6,0.7,8.4,26.2,0,0.5,0.2,0.7,0.089,0,1.3,-3.3,-2,0
Mike James,PG,27,TOT,36,687,14.1,0.469,0.305,0.262,2,12.4,7.1,29.6,2,0.8,12,25.2,0,0,0.3,0.3,0.021,0,-0.7,-1.8,-2.5,-0.1
Mike Muscala,C,26,ATL,28,457,15.9,0.645,0.432,0.237,6.7,18.9,12.8,8.6,1.5,2.7,11.5,14.2,0,1,0.4,1.4,0.144,0,0.7,0.5,1.2,0.4
Mike Scott,PF,29,WAS,51,949,15,0.636,0.338,0.143,3.4,16.4,9.9,7.8,1,0.8,13.3,19.8,0,1.3,0.8,2.1,0.107,0,0.2,-1.5,-1.3,0.2
Miles Plumlee,C,29,ATL,37,623,11.4,0.604,0,0.333,9.1,17,13.1,8.5,1,3.1,24.7,12.6,0,0.3,0.5,0.7,0.055,0,-3,1.4,-1.6,0.1
Milos Teodosic,PG,30,LAC,25,640,11.2,0.513,0.654,0.097,2.2,11.1,6.7,30.3,1,0.4,19.3,19,0,0.3,0.4,0.7,0.05,0,0.2,-2,-1.8,0
Milton Doyle,SG,24,BRK,6,63,4.6,0.342,0.52,0.12,3.3,11.9,7.6,9.5,1.5,1.2,7.1,19.4,0,-0.2,0,-0.1,-0.081,0,-6,-1.4,-7.4,-0.1
Mindaugas Kuzminskas,SF,28,NYK,1,2,-41.4,0,0,0,0,0,0,0,0,0,0,43.9,0,0,0,0,-1.056,0,-36.7,-12.5,-49.2,0
Mirza Teletovic,PF,32,MIL,10,159,13.7,0.623,0.789,0,2.2,14.9,8.6,9.7,1.3,0.5,10.9,18.4,0,0.2,0.1,0.3,0.097,0,1.7,-3,-1.3,0
Monte Morris,PG,22,DEN,2,25,27.5,0.727,0.167,0.333,0,9.1,4.5,42,6,0,12.7,13.7,0,0.1,0,0.2,0.32,0,3.7,-1.2,2.5,0
Montrezl Harrell,C,24,LAC,48,741,22.7,0.624,0.007,0.405,9.8,18.1,14,8.2,1.4,3.7,9.9,22.5,0,2,0.9,2.9,0.189,0,0.7,0.4,1.1,0.6
Myke Henry,SF,25,MEM,8,150,10.6,0.523,0.667,0.179,1.5,8.6,5.1,8.2,3.1,2.5,12.5,14.6,0,0,0.2,0.2,0.054,0,-1.6,0.8,-0.8,0
Myles Turner,C,21,IND,41,1159,17.8,0.577,0.245,0.338,5.1,20.7,13,7.5,0.9,6.5,11.7,21.1,0,1.5,1.5,3,0.125,0,-1,1.8,0.8,0.8
Nate Wolters,PG,26,UTA,5,19,-2.8,0.167,0,0,6,6,6,7.1,0,0,0,14.3,0,-0.1,0,-0.1,-0.156,0,-10.1,-2.6,-12.7,-0.1
Naz Mitrou-Long,SG,24,UTA,1,1,135.8,1.5,1,0,0,0,0,0,0,0,0,45.3,0,0.1,0,0.1,2.721,0,69.3,-14.7,54.6,0
Nemanja Bjelica,PF,29,MIN,44,698,14.1,0.625,0.513,0.137,4.3,19.6,11.8,7.8,1.8,0.8,11.8,15,0,1.2,0.6,1.8,0.121,0,1.2,-0.8,0.4,0.4
Nene Hilario,C,35,HOU,38,567,17,0.624,0.011,0.413,6.8,18.8,12.8,10.8,1.7,1.4,12.8,18.7,0,1.3,0.7,2,0.167,0,-1,0.4,-0.6,0.2
Nerlens Noel,C,23,DAL,18,225,15.5,0.587,0,0.358,12.6,24.3,18.2,4,2.2,4.1,19.6,15.5,0,0.2,0.4,0.6,0.125,0,-3.6,2.3,-1.3,0
Nick Collison,PF,37,OKC,9,52,13,0.799,0,0.75,6.3,22.3,14,8.4,0,0,27.3,12.1,0,0.1,0,0.1,0.114,0,-2.6,-1.9,-4.4,0
Nick Young,SG,32,GSW,54,765,11.7,0.591,0.683,0.105,1.8,7.2,4.7,3.6,1.4,0.6,7.1,18.4,0,0.7,0.5,1.2,0.074,0,0.8,-3.7,-3,-0.2
Nicolas Batum,SG,29,CHO,42,1327,13.1,0.511,0.42,0.195,3,12,7.4,22.6,1.6,0.8,14.8,18.8,0,0.6,1.2,1.8,0.066,0,0.3,0.2,0.5,0.8
Nicolas Brussino,SF,24,ATL,4,10,-4.7,0,1,0,0,34.6,17.2,0,0,0,0,8.8,0,0,0,0,-0.18,0,-13.6,-5.1,-18.7,0
Nigel Hayes,SF,23,LAL,2,11,9.9,0.436,0.667,0.333,0,0,0,24.3,0,0,0,13.2,0,0,0,0,0.07,0,-3.5,-9.3,-12.8,0
Nik Stauskas,SG,24,TOT,30,409,8.9,0.553,0.672,0.172,0.8,12,6.3,10.3,0.8,0.6,14.4,15.3,0,0.1,0.2,0.3,0.037,0,-2,-1.4,-3.5,-0.2
Nikola Jokic,C,22,DEN,49,1539,22.8,0.578,0.281,0.305,9.4,28.2,18.7,27.9,1.9,2,15.7,23.6,0,4,2,6,0.188,0,3.6,2.5,6.2,3.2
Nikola Mirotic,PF,26,TOT,29,768,20.7,0.602,0.528,0.253,4.7,23.3,13.7,10.2,1.4,2.1,8.6,24.7,0,1.5,0.8,2.3,0.146,0,2.6,-0.9,1.7,0.7
Nikola Vucevic,C,27,ORL,34,1018,21.3,0.557,0.277,0.111,6.6,27.8,17.1,18.9,1.7,2.9,10.8,25.5,0,1.4,1.2,2.7,0.125,0,1.8,1.8,3.6,1.4
