Antonius Cleveland,SG,ATL,133632,1511874,0,0,0,0,0,2,2019,62,24
DeAndre' Bembry,SG,ATL,1499760,3066960,4701600,0,0,0,0,3,2020,69,23
Dennis Schršder,PG,ATL,15500000,31000000,46500000,62000000,0,0,0,4,2021,83,24
Dewayne Dedmon,C,ATL,6000000,12300000,0,0,0,0,0,2,2019,75,28
Jaylen Morris,G,ATL,101376,1479618,0,0,0,0,0,2,2019,62,22
John Collins,PF,ATL,1936920,4236000,0,0,0,0,0,2,2021,80,20
Kent Bazemore,SF,ATL,15730338,32640451,50730338,70000000,0,0,0,4,2020,78,29
Kevin Huerter,SG,ATL,2250960,4887240,0,0,0,0,0,2,2022,71,19
Mike Muscala,PF,ATL,5000000,10000000,0,0,0,0,0,2,2019,71,27
Miles Plumlee,C,ATL,7132353,19632353,32132353,44632353,0,0,0,4,2020,73,29
Omari Spellman,PF,ATL,1620480,3518280,0,0,0,0,0,2,2022,71,20
Taurean Prince,SF,ATL,2318280,4740840,7267680,0,0,0,0,3,2020,75,23
Trae Young,PG,ATL,5356440,11629440,0,0,0,0,0,2,2022,79,19
Tyler Dorsey,SG,ATL,815615,2193857,0,0,0,0,0,2,2019,65,22
Allen Crabbe,SG,BKN,18500000,37832500,56332500,74832500,0,0,0,4,2020,76,26
Caris LeVert,SG,BKN,1562280,3194760,4897560,0,0,0,0,3,2020,74,23
D'Angelo Russell,PG,BKN,5103120,10435920,15998280,23017978,0,0,0,4,2019,81,22
DeMarre Carroll,SF,BKN,13600000,27800000,42600000,58000000,0,0,0,4,2019,76,31
Dwight Howard,C,BKN,23180275,46680275,70500000,0,0,0,0,3,2019,83,32
Ed Davis,PF,BKN,4400000,0,0,0,0,0,0,1,2019,74,29
Isaiah Whitehead,PG,BKN,1074145,2386756,3931707,5608442,0,0,0,4,2020,74,23
Jarrett Allen,C,BKN,1713720,3747840,0,0,0,0,0,2,2021,73,20
Jeremy Lin,PG,BKN,11483254,23483254,36000000,0,0,0,0,3,2019,74,29
Joe Harris,SG,BKN,7692308,16000000,0,0,0,0,0,2,2020,79,26
Rondae Hollis-Jefferson,SF,BKN,1335480,2731080,4202462,6672819,0,0,0,4,2019,76,23
Spencer Dinwiddie,PG,BKN,726672,2250977,3907069,0,0,0,0,3,2019,77,25
Abdel Nader,SF,BOS,1167333,2545575,4164095,0,0,0,0,3,2021,71,24
Al Horford,C,BOS,26540100,54274505,83203214,113326228,0,0,0,4,2020,86,32
Aron Baynes,C,BOS,5365854,11000000,0,0,0,0,0,2,2020,76,31
Brad Wanamaker,PG,BOS,831311,0,0,0,0,0,0,1,2019,68,28
Daniel Theis,PF,BOS,815615,2193857,0,0,0,0,0,2,2019,76,26
Gordon Hayward,SG,BOS,29727900,60942195,93642885,127829970,0,0,0,4,2021,84,28
Guerschon Yabusele,PF,BOS,2247480,4915080,0,0,0,0,0,2,2021,71,22
Jaylen Brown,SF,BOS,4743000,9699480,14869440,0,0,0,0,3,2020,82,21
Jayson Tatum,SF,BOS,5645400,12346200,0,0,0,0,0,2,2021,83,20
Kyrie Irving,PG,BOS,16407500,34045563,52914188,73013376,94343126,0,0,5,2020,91,26
Marcus Morris,PF,BOS,5000000,9625000,14625000,20000000,0,0,0,4,2019,80,28
Semi Ojeleye,PF,BOS,1291892,2670134,4288654,6041604,0,0,0,4,2021,74,23
Terry Rozier,PG,BOS,1824360,3730800,5719320,8769710,0,0,0,4,2019,78,24
Cody Zeller,PF,CHA,12584270,26112360,40584270,56000000,0,0,0,4,2021,72,25
Dwayne Bacon,SG,CHA,815615,2193857,3812377,0,0,0,0,3,2020,72,22
Frank Kaminsky,PF,CHA,2612520,5342520,8190120,11817962,0,0,0,4,2019,77,25
Jeremy Lamb,SG,CHA,6511628,13511628,21000000,0,0,0,0,3,2019,76,26
Kemba Walker,PG,CHA,12000000,24000000,36000000,48000000,0,0,0,4,2019,84,28
Malik Monk,SG,CHA,2904480,6351960,0,0,0,0,0,2,2021,73,20
Marvin Williams,PF,CHA,12250000,25418750,39506250,54512500,0,0,0,4,2020,73,32
Michael Kidd-Gilchrist,SF,CHA,13000000,26000000,39000000,52000000,0,0,0,4,2020,75,24
Miles Bridges,SF,CHA,3206640,6962040,0,0,0,0,0,2,2022,76,20
Nicolas Batum,SG,CHA,20869565,43304348,67304348,92869565,120000000,0,0,5,2021,81,29
Timofey Mozgov,C,CHA,16000000,31280000,47280000,64000000,0,0,0,4,2020,71,31
Tony Parker,PG,CHA,5000000,5000000,0,0,0,0,0,2,2020,73,36
Willy Hernangomez,C,CHA,1375000,1886030,3382530,4939780,0,0,0,4,2020,79,24
Bobby Portis,PF,CHI,1391160,2844840,4361160,6855506,0,0,0,4,2019,73,23
Cameron Payne,PG,CHI,2021520,2630411,4833851,8097146,0,0,0,4,2019,73,23
Cristiano Felicio,PF,CHI,7843500,16314480,24470980,32000000,0,0,0,4,2021,69,25
Denzel Valentine,SG,CHI,2092200,4278600,6559200,0,0,0,0,3,2020,75,24
Jerian Grant,PG,CHI,1643040,3356880,5996194,0,0,0,0,4,2019,72,25
Justin Holiday,SG,CHI,4615385,9000000,0,0,0,0,0,2,2019,73,29
Kris Dunn,PG,CHI,3872520,7919280,12140280,0,0,0,0,3,2020,77,24
Lauri Markkanen,PF,CHI,3821640,8357760,0,0,0,0,0,2,2021,82,21
Omer Asik,C,CHI,9213483,19117977,23248428,34534944,46512471,0,0,5,2020,67,31
Paul Zipser,SF,CHI,750000,2062611,3607562,5284297,0,0,0,4,2020,71,24
Robin Lopez,C,CHI,13219250,27007750,41365500,0,0,0,0,4,2019,72,30
Sean Kilpatrick,SG,CHI,2163006,4217862,6272718,0,0,0,0,3,2020,77,28
Ante Zizic,C,CLE,1645200,3597960,0,0,0,0,0,2,2021,72,21
Cedi Osman,SF,CLE,2634921,5409921,8317064,0,0,0,0,3,2020,73,23
George Hill,PG,CLE,7118644,26118644,44118644,0,0,0,0,3,2020,78,32
J.R. Smith,SG,CLE,12800000,26560000,41280000,56960000,0,0,0,4,2020,74,32
Jordan Clarkson,PG,CLE,12500000,16615466,29115466,42552966,0,0,0,4,2020,77,26
Kendrick Perkins,C,CLE,13156,2386622,0,0,0,0,0,2,2019,66,33
Kevin Love,C,CLE,19689000,40854675,63497025,87616050,113211750,0,0,5,2020,84,29
Kyle Korver,SG,CLE,7000000,14560000,22060000,0,0,0,0,3,2020,78,37
Larry Nance Jr.,PF,CLE,1155600,2363280,2886992,5159383,0,0,0,4,2019,73,25
Okaro White,PF,CLE,37079,1582030,0,0,0,0,0,2,2019,63,25
Tristan Thompson,C,CLE,14260870,29591305,45991305,63460870,82000000,0,0,5,2020,77,27
DeAndre Jordan,C,DAL,24100000,0,0,0,0,0,0,1,2019,82,30
Dennis Smith Jr.,PG,DAL,3218280,7038240,0,0,0,0,0,2,2021,79,20
Dorian Finney-Smith,SF,DAL,543471,1856082,3401033,0,0,0,0,3,2019,66,25
Dwight Powell,PF,DAL,8375000,17378125,27009375,37268750,0,0,0,4,2020,76,26
Harrison Barnes,SF,DAL,22116750,45228754,69336012,94438525,0,0,0,4,2020,84,26
Jose Barea,PG,DAL,4290000,8386950,12290850,16001700,0,0,0,4,2019,71,34
Kyle Collinsworth,PG,DAL,290304,1668546,3287066,0,0,0,0,3,2020,66,26
Maxi Kleber,PF,DAL,815615,2193857,0,0,0,0,0,2,2019,67,26
Salah Mejri,C,DAL,1567007,0,0,0,0,0,0,1,2019,65,32
Wesley Matthews,SG,DAL,16407500,33553338,51437513,70060026,0,0,0,4,2019,80,31
Darrell Arthur,PF,DEN,8070175,15535087,22999999,0,0,0,0,3,2019,66,30
Gary Harris,SG,DEN,16517857,34357143,53517857,74000000,0,0,0,4,2022,82,23
Jamal Murray,PG,DEN,3210840,6566160,10065960,0,0,0,0,3,2020,82,21
Juan Hernangomez,PF,DEN,1987440,4064280,6230640,0,0,0,0,3,2020,77,22
Kenneth Faried,PF,DEN,11235955,23314607,36235955,50000000,0,0,0,4,2019,74,28
Malik Beasley,SG,DEN,1627320,3327960,5101800,7833514,0,0,0,4,2020,68,21
Mason Plumlee,C,DEN,14041096,26958904,41000000,0,0,0,0,3,2020,73,28
Michael Porter Jr.,SF,DEN,2894160,6283560,0,0,0,0,0,2,2022,79,0
Nikola Jokic,C,DEN,25467250,52971880,82513890,114093280,147710050,0,0,5,2023,87,23
Paul Millsap,PF,DEN,31269231,61000000,0,0,0,0,0,2,2020,83,33
Trey Lyles,PF,DEN,2239800,4580400,7021800,10386049,0,0,0,4,2019,78,22
Tyler Lydon,PF,DEN,1579440,3454080,0,0,0,0,0,2,2021,70,22
Will Barton,SG,DEN,12053571,25071428,39053571,54000000,0,0,0,4,2022,77,27
Andre Drummond,C,DET,22116750,45892256,71326519,98419538,127171313,0,0,5,2021,86,24
Blake Griffin,PF,DET,12005247,44094179,78544143,115355139,154312167,0,0,5,2022,85,29
Dwight Buycks,PG,DET,748160,2348680,0,0,0,0,0,2,2019,67,29
Eric Moreland,PF,DET,1739333,3565633,5478899,0,0,0,0,3,2020,64,26
Glen Robinson III,SG,DET,4048780,0,0,0,0,0,0,2,2020,75,24
Henry Ellenson,PF,DET,1704120,3484920,5342400,0,0,0,0,3,2020,66,21
Ishmael Smith,PG,DET,6000000,12000000,18000000,0,0,0,0,3,2019,69,29
Jon Leuer,PF,DET,10991957,21489276,31491957,41000000,0,0,0,4,2020,70,29
Jose Calderon,PG,DET,2393887,0,0,0,0,0,0,1,2019,73,36
Langston Galloway,PG,DET,6666667,13666667,21000000,0,0,0,0,3,2020,71,26
Luke Kennard,SG,DET,2759280,6034560,0,0,0,0,0,2,2021,74,22
Reggie Bullock,SF,DET,2500000,5000000,0,0,0,0,0,2,2019,78,27
Reggie Jackson,PG,DET,13913043,28869565,44869565,61913043,80000000,0,0,5,2020,76,28
Stanley Johnson,SF,DET,2841960,5811840,8909640,12850042,0,0,0,4,2019,75,22
Andre Iguodala,SF,GSW,14814815,30814815,48000000,0,0,0,0,3,2020,80,34
Damian Jones,C,GSW,1171560,2484171,4029122,0,0,0,0,3,2020,68,23
DeMarcus Cousins,C,GSW,5337000,0,0,0,0,0,0,1,2019,90,27
Draymond Green,PF,GSW,14260870,29591305,45991305,63460870,82000000,0,0,5,2020,86,28
Jacob Evans,SG,GSW,1644240,3570120,0,0,0,0,0,2,2022,68,21
Jordan Bell,PF,GSW,815615,2193857,0,0,0,0,0,2,2019,74,23
Kevin Durant,SF,GSW,30000000,61500000,0,0,0,0,0,2,2020,94,29
Kevon Looney,SF,GSW,1131960,2314800,3786182,0,0,0,0,3,2019,71,22
Klay Thompson,SG,GSW,15501000,32164575,49990725,68979450,0,0,0,4,2019,88,28
Quinn Cook,PG,GSW,14832,1559783,0,0,0,0,0,2,2019,71,25
Shaun Livingston,PG,GSW,7692308,16000000,23692308,0,0,0,0,3,2020,76,32
Stephen Curry,PG,GSW,34682550,72139704,112371462,155377824,201158790,0,0,5,2022,93,30
Aaron Jackson,G,HOU,4608,1382850,0,0,0,0,0,2,2019,64,32
Chinanu Onuaku,C,HOU,543471,1856082,3401033,0,0,0,0,3,2019,67,21
Chris Paul,PG,HOU,35654150,74160632,115519446,159730592,0,0,0,4,2022,86,33
Eric Gordon,SG,HOU,12385364,25328384,38828759,52886489,0,0,0,4,2020,83,29
Gerald Green,SG,HOU,2393887,0,0,0,0,0,0,1,2019,75,32
James Harden,SG,HOU,37800000,78624000,122472000,169344000,0,0,0,4,2023,96,28
Michael Carter-Williams,PG,HOU,1757429,0,0,0,0,0,0,1,2019,73,26
Nene Hilario,C,HOU,3477600,7129080,10954440,0,0,0,0,3,2020,74,35
P.J. Tucker,SF,HOU,7590035,15559572,23908611,31878148,0,0,0,4,2021,77,33
Ryan Anderson,PF,HOU,18735363,38313817,58735363,80000000,0,0,0,4,2020,78,30
Zhou Qi,PF,HOU,815615,2193857,3812377,5565327,0,0,0,4,2021,70,22
Aaron Holiday,PF,IND,1911960,4151160,0,0,0,0,0,2,2022,68,21
Alex Poythress,SF,IND,778668,2323619,0,0,0,0,0,2,2019,72,24
Bojan Bogdanovic,SF,IND,10500000,21000000,0,0,0,0,0,2,2019,77,29
Cory Joseph,PG,IND,7000000,14315000,21945000,29890000,0,0,0,4,2019,75,26
Darren Collison,PG,IND,10000000,20000000,0,0,0,0,0,2,2019,79,30
Domantas Sabonis,PF,IND,2440200,4990200,7650000,0,0,0,0,2,2020,76,22
Doug McDermott,SF,IND,6984127,14317460,22000000,0,0,0,0,3,2021,75,26
Ike Anigbogu,C,IND,950000,2328242,3946762,0,0,0,0,3,2020,72,19
Myles Turner,C,IND,2357760,4821600,7391520,10801804,0,0,0,4,2019,80,22
Thaddeus Young,PF,IND,11235955,25389607,40185955,53950000,0,0,0,4,2019,76,30
TJ Leaf,PF,IND,2028360,4435920,0,0,0,0,0,2,2021,72,21
Tyreke Evans,SG,IND,12000000,0,0,0,0,0,0,1,2019,81,28
Victor Oladipo,SG,IND,21000000,42000000,63000000,84000000,0,0,0,4,2021,89,26
Avery Bradley,SG,LAC,12500000,25000000,0,0,0,0,0,2,2020,80,27
Boban Marjanovic,C,LAC,7000000,9847458,16847458,0,0,0,0,3,2019,77,29
C.J. Williams,SG,LAC,13824,1392066,3010586,0,0,0,0,3,2020,70,28
Danilo Gallinari,SF,LAC,20559599,42147178,64762737,0,0,0,0,3,2020,79,29
Jawun Evans,PG,LAC,815615,2193857,0,0,0,0,0,2,2020,67,21
Louis Williams,SG,LAC,8000000,16000000,24000000,0,0,0,0,3,2021,84,31
Marcin Gortat,C,LAC,10434782,21652173,33652173,46434782,60000000,0,0,5,2019,73,34
Mike Scott,PF,LAC,1893447,0,0,0,0,0,0,1,2019,71,30
Milos Teodosic,PG,LAC,6000000,12300000,0,0,0,0,0,2,2019,78,31
Patrick Beverley,PG,LAC,6486486,12486486,17999999,23027026,0,0,0,4,2019,78,29
Sam Dekker,SF,LAC,1646400,3366960,5161560,7921655,0,0,0,4,2019,71,24
Sindarius Thornwell,SG,LAC,815615,2193857,3812377,0,0,0,0,3,2020,66,23
Tobias Harris,SF,LAC,5364706,22564706,29073181,43873181,0,0,0,4,2019,81,25
Wesley Johnson,SF,LAC,5628000,11509260,17643780,0,0,0,0,3,2019,73,30
Brandon Ingram,SF,LAL,5281680,10801080,16558200,0,0,0,0,3,2020,82,20
Ivica Zubac,C,LAL,1034956,2347567,3892518,0,0,0,0,3,2019,71,21
JaVale McGee,C,LAL,2393887,0,0,0,0,0,0,1,2019,76,30
Josh Hart,SG,LAL,1394520,3049680,0,0,0,0,0,2,2021,74,23
Kentavious Caldwell-Pope,SG,LAL,12000000,0,0,0,0,0,0,1,2019,78,25
Kyle Kuzma,PF,LAL,1423560,3113400,0,0,0,0,0,2,2021,81,22
Lance Stephenson,SG,LAL,4449000,0,0,0,0,0,0,1,2019,77,27
LeBron James,SF,LAL,35654150,73091008,112310573,153312846,0,0,0,4,2022,98,33
Lonzo Ball,PG,LAL,6286560,13748520,0,0,0,0,0,2,2021,80,20
Luol Deng,SF,LAL,18000000,35190000,53190000,72000000,0,0,0,4,2020,73,33
Moritz Wagner,PF,LAL,1762080,3825600,0,0,0,0,0,2,2022,73,21
Rajon Rondo,PG,LAL,9000000,0,0,0,0,0,0,1,2019,81,32
Andrew Harrison,PG,MEM,945000,2257611,3802562,0,0,0,0,3,2019,71,23
Ben McLemore,SG,MEM,5200000,10660000,0,0,0,0,0,2,2019,70,25
Chandler Parsons,SF,MEM,22116750,45228754,69336012,94438523,0,0,0,4,2020,74,29
Deyonta Davis,C,MEM,1369229,2681840,4226791,0,0,0,0,3,2019,71,21
Dillon Brooks,SF,MEM,815615,2193857,3812377,0,0,0,0,3,2020,71,22
Ivan Rabb,PF,MEM,950000,2328242,0,0,0,0,0,2,2020,72,21
JaMychal Green,PF,MEM,8533333,16400000,0,0,0,0,0,2,2019,76,28
Jarell Martin,PF,MEM,1230840,2517000,3988382,6404604,0,0,0,4,2019,71,24
Jaren Jackson Jr.,PF,MEM,5915040,12842520,0,0,0,0,0,2,2022,77,18
Marc Gasol,C,MEM,19689000,40854675,63497025,87616050,113211750,0,0,5,2020,84,33
Mario Chalmers,PG,MEM,2106470,0,0,0,0,0,0,1,2019,71,32
MarShon Brooks,SG,MEM,51671,1707763,0,0,0,0,0,2,2019,62,29
Mike Conley,PG,MEM,26540100,55070708,85591823,118103446,152605576,0,0,5,2021,81,30
Omri Casspi,SF,MEM,2165481,0,0,0,0,0,0,1,2019,73,30
Wayne Selden,SG,MEM,1312611,2857562,0,0,0,0,0,2,2019,72,23
Derrick Jones Jr.,SF,MIA,1512601,3157958,0,0,0,0,0,2,2020,71,21
Dion Waiters,SG,MIA,11000000,22550000,34650000,47300000,0,0,0,4,2021,75,26
Edrice Adebayo,PF,MIA,2490360,5446200,0,0,0,0,0,2,2021,75,20
Goran Dragic,PG,MIA,14783000,30674725,47675175,65784350,85002250,0,0,5,2020,84,32
Hassan Whiteside,C,MIA,22116750,45892256,71326519,98419538,0,0,0,4,2020,83,29
